RaceYear,RaceName,Driver,pit_stops,completed_laps,pit_stop_bucket,Abbreviation,GridPosition,Position,TeamName,Status,places_gained_from_grid,finished_ahead_of_grid
2020,Hungarian Grand Prix,VET,2,69,2,VET,5.0,6.0,Ferrari,+1 Lap,-1.0,False
2020,Italian Grand Prix,ALB,2,53,2,ALB,9.0,15.0,Red Bull Racing,Finished,-6.0,False
2020,Italian Grand Prix,BOT,2,53,2,BOT,2.0,5.0,Mercedes,Finished,-3.0,False
2020,Italian Grand Prix,GAS,2,53,2,GAS,10.0,1.0,AlphaTauri,Finished,9.0,True
2020,Italian Grand Prix,GIO,3,53,3,GIO,18.0,16.0,Alfa Romeo Racing,Finished,2.0,True
2020,Italian Grand Prix,GRO,2,53,2,GRO,16.0,12.0,Haas F1 Team,Finished,4.0,True
2020,Italian Grand Prix,HAM,3,53,3,HAM,1.0,7.0,Mercedes,Finished,-6.0,False
2020,Italian Grand Prix,KVY,2,53,2,KVY,11.0,9.0,AlphaTauri,Finished,2.0,True
2020,Italian Grand Prix,LAT,2,53,2,LAT,20.0,11.0,Williams,Finished,9.0,True
2020,Italian Grand Prix,LEC,2,24,2,LEC,13.0,18.0,Ferrari,Accident,-5.0,False
2020,Italian Grand Prix,MAG,2,18,2,MAG,15.0,19.0,Haas F1 Team,Power Unit,-4.0,False
2020,Italian Grand Prix,NOR,2,53,2,NOR,6.0,4.0,McLaren,Finished,2.0,True
2020,Italian Grand Prix,OCO,2,53,2,OCO,12.0,8.0,Renault,Finished,4.0,True
2020,Italian Grand Prix,PER,2,53,2,PER,4.0,10.0,Racing Point,Finished,-6.0,False
2020,Italian Grand Prix,RAI,2,53,2,RAI,14.0,13.0,Alfa Romeo Racing,Finished,1.0,True
2020,Italian Grand Prix,RIC,2,53,2,RIC,7.0,6.0,Renault,Finished,1.0,True
2020,Italian Grand Prix,RUS,2,53,2,RUS,19.0,14.0,Williams,Finished,5.0,True
2020,Italian Grand Prix,SAI,2,53,2,SAI,3.0,2.0,McLaren,Finished,1.0,True
2020,Italian Grand Prix,STR,1,53,1,STR,8.0,3.0,Racing Point,Finished,5.0,True
2020,Italian Grand Prix,VER,3,30,3,VER,5.0,17.0,Red Bull Racing,Power Unit,-12.0,False
2020,Italian Grand Prix,VET,1,6,1,VET,17.0,20.0,Ferrari,Brakes,-3.0,False
2020,Portuguese Grand Prix,ALB,2,65,2,ALB,6.0,12.0,Red Bull Racing,+1 Lap,-6.0,False
2020,Portuguese Grand Prix,BOT,1,66,1,BOT,2.0,2.0,Mercedes,Finished,0.0,False
2020,Portuguese Grand Prix,GAS,1,65,1,GAS,9.0,5.0,AlphaTauri,+1 Lap,4.0,True
2020,Portuguese Grand Prix,GIO,1,65,1,GIO,17.0,15.0,Alfa Romeo Racing,+1 Lap,2.0,True
2020,Portuguese Grand Prix,GRO,1,65,1,GRO,18.0,17.0,Haas F1 Team,+1 Lap,1.0,True
2020,Portuguese Grand Prix,HAM,1,66,1,HAM,1.0,1.0,Mercedes,Finished,0.0,False
2020,Portuguese Grand Prix,KVY,2,64,2,KVY,13.0,19.0,AlphaTauri,+2 Laps,-6.0,False
2020,Portuguese Grand Prix,LAT,1,64,1,LAT,20.0,18.0,Williams,+2 Laps,2.0,True
2020,Portuguese Grand Prix,LEC,1,66,1,LEC,4.0,4.0,Ferrari,Finished,0.0,False
2020,Portuguese Grand Prix,MAG,1,65,1,MAG,19.0,16.0,Haas F1 Team,+1 Lap,3.0,True
2020,Portuguese Grand Prix,NOR,2,65,2,NOR,8.0,13.0,McLaren,+1 Lap,-5.0,False
2020,Portuguese Grand Prix,OCO,1,65,1,OCO,11.0,8.0,Renault,+1 Lap,3.0,True
2020,Portuguese Grand Prix,PER,2,65,2,PER,5.0,7.0,Racing Point,+1 Lap,-2.0,False
2020,Portuguese Grand Prix,RAI,1,65,1,RAI,16.0,11.0,Alfa Romeo Racing,+1 Lap,5.0,True
2020,Portuguese Grand Prix,RIC,1,65,1,RIC,10.0,9.0,Renault,+1 Lap,1.0,True
2020,Portuguese Grand Prix,RUS,1,65,1,RUS,14.0,14.0,Williams,+1 Lap,0.0,False
2020,Portuguese Grand Prix,SAI,1,65,1,SAI,7.0,6.0,McLaren,+1 Lap,1.0,True
2020,Portuguese Grand Prix,STR,3,51,3,STR,12.0,20.0,Racing Point,Collision damage,-8.0,False
2020,Portuguese Grand Prix,VER,1,66,1,VER,3.0,3.0,Red Bull Racing,Finished,0.0,False
2020,Portuguese Grand Prix,VET,1,65,1,VET,15.0,10.0,Ferrari,+1 Lap,5.0,True
2020,Russian Grand Prix,ALB,2,53,2,ALB,15.0,10.0,Red Bull Racing,Finished,5.0,True
2020,Russian Grand Prix,BOT,1,53,1,BOT,3.0,1.0,Mercedes,Finished,2.0,True
2020,Russian Grand Prix,GAS,2,53,2,GAS,9.0,9.0,AlphaTauri,Finished,0.0,False
2020,Russian Grand Prix,GIO,1,52,1,GIO,17.0,11.0,Alfa Romeo Racing,+1 Lap,6.0,True
2020,Russian Grand Prix,GRO,2,52,2,GRO,16.0,17.0,Haas F1 Team,+1 Lap,-1.0,False
2020,Russian Grand Prix,HAM,1,53,1,HAM,1.0,3.0,Mercedes,Finished,-2.0,False
2020,Russian Grand Prix,KVY,1,53,1,KVY,11.0,8.0,AlphaTauri,Finished,3.0,True
2020,Russian Grand Prix,LAT,1,52,1,LAT,20.0,16.0,Williams,+1 Lap,4.0,True
2020,Russian Grand Prix,LEC,1,53,1,LEC,10.0,6.0,Ferrari,Finished,4.0,True
2020,Russian Grand Prix,MAG,1,52,1,MAG,18.0,12.0,Haas F1 Team,+1 Lap,6.0,True
2020,Russian Grand Prix,NOR,2,52,2,NOR,8.0,15.0,McLaren,+1 Lap,-7.0,False
2020,Russian Grand Prix,OCO,1,53,1,OCO,7.0,7.0,Renault,Finished,0.0,False
2020,Russian Grand Prix,PER,1,53,1,PER,4.0,4.0,Racing Point,Finished,0.0,False
2020,Russian Grand Prix,RAI,1,52,1,RAI,19.0,14.0,Alfa Romeo Racing,+1 Lap,5.0,True
2020,Russian Grand Prix,RIC,1,53,1,RIC,5.0,5.0,Renault,Finished,0.0,False
2020,Russian Grand Prix,RUS,3,52,3,RUS,13.0,18.0,Williams,+1 Lap,-5.0,False
2020,Russian Grand Prix,SAI,0,1,0,SAI,6.0,19.0,McLaren,Accident,-13.0,False
2020,Russian Grand Prix,STR,0,1,0,STR,12.0,20.0,Racing Point,Collision,-8.0,False
2020,Russian Grand Prix,VER,1,53,1,VER,2.0,2.0,Red Bull Racing,Finished,0.0,False
2020,Russian Grand Prix,VET,1,52,1,VET,14.0,13.0,Ferrari,+1 Lap,1.0,True
2020,Sakhir Grand Prix,AIT,3,87,3,AIT,17.0,16.0,Williams,Finished,1.0,True
2020,Sakhir Grand Prix,ALB,2,87,2,ALB,12.0,6.0,Red Bull Racing,Finished,6.0,True
2020,Sakhir Grand Prix,BOT,2,87,2,BOT,1.0,8.0,Mercedes,Finished,-7.0,False
