RaceYear,RaceName,Driver,Stint,Compound,stint_laps_sampled,early_stint_median_loss,late_stint_median_loss,pace_fade_seconds
2018,Abu Dhabi Grand Prix,OCO,2,SUPERSOFT,25,3.01700000000001,0.3100000000000023,-2.707000000000008
2018,Abu Dhabi Grand Prix,PER,1,ULTRASOFT,19,2.044000000000011,0.3850000000000051,-1.659000000000006
2018,Abu Dhabi Grand Prix,PER,2,SUPERSOFT,28,1.5379999999999967,0.0030000000000001137,-1.5349999999999966
2018,Abu Dhabi Grand Prix,RIC,1,ULTRASOFT,26,2.9650000000000034,0.06499999999999773,-2.9000000000000057
2018,Abu Dhabi Grand Prix,RIC,2,SUPERSOFT,21,1.4420000000000073,1.774000000000001,0.33199999999999363
2018,Abu Dhabi Grand Prix,SAI,1,ULTRASOFT,30,4.306999999999988,0.3119999999999976,-3.9949999999999903
2018,Abu Dhabi Grand Prix,SAI,2,SUPERSOFT,17,1.8769999999999953,0.1880000000000024,-1.688999999999993
2018,Abu Dhabi Grand Prix,SIR,1,SUPERSOFT,28,3.266999999999996,0.5310000000000059,-2.73599999999999
2018,Abu Dhabi Grand Prix,SIR,2,ULTRASOFT,18,1.2319999999999993,0.0660000000000025,-1.1659999999999968
2018,Abu Dhabi Grand Prix,STR,1,SUPERSOFT,33,3.6069999999999993,1.2730000000000103,-2.333999999999989
2018,Abu Dhabi Grand Prix,STR,2,ULTRASOFT,13,0.855000000000004,0.42600000000000193,-0.42900000000000205
2018,Abu Dhabi Grand Prix,VAN,1,SUPERSOFT,28,2.7989999999999924,0.6969999999999885,-2.102000000000004
2018,Abu Dhabi Grand Prix,VAN,2,ULTRASOFT,18,1.8659999999999997,0.4690000000000083,-1.3969999999999914
2018,Abu Dhabi Grand Prix,VER,1,HYPERSOFT,10,2.5559999999999974,1.0549999999999926,-1.5010000000000048
2018,Abu Dhabi Grand Prix,VER,2,SUPERSOFT,37,1.8059999999999974,0.6989999999999981,-1.1069999999999993
2018,Abu Dhabi Grand Prix,VET,1,ULTRASOFT,8,0.4579999999999984,0.8449999999999989,0.38700000000000045
2018,Abu Dhabi Grand Prix,VET,2,SUPERSOFT,39,2.7349999999999994,0.42900000000000205,-2.3059999999999974
2018,Australian Grand Prix,ALO,1,ULTRASOFT,21,2.9279999999999973,0.3340000000000032,-2.593999999999994
2018,Australian Grand Prix,ALO,2,SOFT,27,2.227000000000004,0.30400000000000205,-1.9230000000000018
2018,Australian Grand Prix,BOT,1,ULTRASOFT,20,1.801000000000002,1.4279999999999973,-0.37300000000000466
2018,Australian Grand Prix,BOT,2,SUPERSOFT,27,2.7539999999999907,0.945999999999998,-1.8079999999999927
2018,Australian Grand Prix,GAS,1,ULTRASOFT,9,1.6829999999999927,0.09399999999999409,-1.5889999999999986
2018,Australian Grand Prix,GRO,1,ULTRASOFT,19,2.0929999999999893,0.8079999999999927,-1.2849999999999966
2018,Australian Grand Prix,HAM,1,ULTRASOFT,13,2.266999999999996,0.09900000000000375,-2.167999999999992
2018,Australian Grand Prix,HAM,2,SOFT,32,1.7839999999999918,1.4979999999999905,-0.28600000000000136
2018,Australian Grand Prix,HAR,2,SOFT,18,2.083999999999989,1.3719999999999999,-0.7119999999999891
2018,Australian Grand Prix,HAR,3,ULTRASOFT,26,2.543999999999997,0.14999999999999147,-2.3940000000000055
2018,Australian Grand Prix,HUL,1,ULTRASOFT,19,1.5219999999999914,0.033999999999991815,-1.4879999999999995
2018,Australian Grand Prix,HUL,2,SOFT,27,2.2779999999999916,0.000999999999990564,-2.277000000000001
2018,Australian Grand Prix,LEC,1,SUPERSOFT,15,1.980000000000004,0.27899999999999636,-1.7010000000000076
