RaceYear,RaceName,driver_entries,unique_strategy_sequences,strategy_entropy,top_strategy_share
2022,Hungarian Grand Prix,20,12,3.384183719779189,0.2
2022,Italian Grand Prix,20,10,3.084183719779189,0.2
2022,Japanese Grand Prix,20,4,1.4166422780956525,0.65
2022,Mexico City Grand Prix,20,6,2.17838982472352,0.35
2022,Miami Grand Prix,20,6,2.2464393446710154,0.4
2022,Monaco Grand Prix,20,11,3.184183719779189,0.2
2022,Saudi Arabian Grand Prix,18,5,1.5157895841746822,0.6666666666666666
2022,São Paulo Grand Prix,20,14,3.446439344671015,0.3
2022,Singapore Grand Prix,20,6,2.1149798205164814,0.45
2022,Spanish Grand Prix,20,10,3.008694969562842,0.3
2022,United States Grand Prix,20,10,3.003701696057348,0.25
2023,Abu Dhabi Grand Prix,20,6,1.5567796494470394,0.7
2023,Australian Grand Prix,20,12,3.246439344671016,0.3
2023,Austrian Grand Prix,20,10,3.003701696057348,0.25
2023,Azerbaijan Grand Prix,20,6,1.5567796494470394,0.7
2023,Bahrain Grand Prix,20,9,2.684183719779189,0.4
2023,Belgian Grand Prix,20,10,3.1037016960573482,0.25
2023,British Grand Prix,20,11,2.884183719779189,0.4
2023,Canadian Grand Prix,20,9,2.6219280948873624,0.4
2023,Dutch Grand Prix,20,15,3.7841837197791888,0.15
2023,Hungarian Grand Prix,20,7,2.341446071165522,0.4
2023,Italian Grand Prix,19,4,1.5288018145253182,0.5789473684210527
2023,Japanese Grand Prix,20,12,3.208694969562842,0.3
2023,Las Vegas Grand Prix,20,9,2.5638651219508537,0.35
2023,Mexico City Grand Prix,20,8,2.3149798205164815,0.45
2023,Miami Grand Prix,20,3,1.3366664819166874,0.55
2023,Monaco Grand Prix,20,9,2.884183719779189,0.2
2023,Qatar Grand Prix,19,11,3.1158340921632197,0.3157894736842105
2023,Saudi Arabian Grand Prix,20,6,1.5567796494470394,0.7
2023,São Paulo Grand Prix,19,7,2.034572365811466,0.5789473684210527
2023,Singapore Grand Prix,19,7,2.4370658315190226,0.3684210526315789
2023,Spanish Grand Prix,20,10,3.1841837197791887,0.2
2023,United States Grand Prix,20,8,2.723219672335508,0.25
2024,Abu Dhabi Grand Prix,20,6,1.7709505944546686,0.6
2024,Australian Grand Prix,19,6,1.7732143550933814,0.631578947368421
2024,Austrian Grand Prix,20,8,2.463865121950854,0.35
2024,Azerbaijan Grand Prix,20,5,1.6954618442383218,0.6
2024,Bahrain Grand Prix,20,3,1.1812908992306925,0.7
2024,Belgian Grand Prix,20,10,3.008694969562842,0.3
2024,British Grand Prix,19,9,2.563716987127796,0.42105263157894735
2024,Canadian Grand Prix,20,10,2.863865121950854,0.35
2024,Chinese Grand Prix,20,10,3.0464393446710156,0.2
2024,Dutch Grand Prix,20,7,1.8166422780956524,0.65
2024,Emilia Romagna Grand Prix,20,6,1.6788979029874789,0.65
2024,Hungarian Grand Prix,20,9,2.8609640474436815,0.25
2024,Italian Grand Prix,20,6,2.1567796494470395,0.35
2024,Japanese Grand Prix,20,13,3.584183719779189,0.15
2024,Las Vegas Grand Prix,20,6,1.9437519544205017,0.55
2024,Mexico City Grand Prix,20,6,2.023219672335508,0.5
2024,Miami Grand Prix,20,7,2.2577174691301485,0.45
2024,Monaco Grand Prix,20,8,2.6261207468426804,0.35
2024,Qatar Grand Prix,20,8,2.584183719779189,0.4
2024,Saudi Arabian Grand Prix,20,5,1.578897902987479,0.65
2024,São Paulo Grand Prix,18,5,1.9274512249645188,0.4444444444444444
2024,Singapore Grand Prix,20,6,1.833206219346495,0.6
2024,Spanish Grand Prix,20,6,1.838758680915008,0.55
2024,United States Grand Prix,20,6,1.9192407046368487,0.55
2025,Abu Dhabi Grand Prix,20,5,2.019973094021975,0.45
2025,Australian Grand Prix,20,5,1.9016094970590272,0.4
2025,Austrian Grand Prix,19,11,3.300559092390953,0.21052631578947367
2025,Azerbaijan Grand Prix,20,5,1.6954618442383218,0.45
2025,Bahrain Grand Prix,20,10,3.065957320949175,0.25
2025,Belgian Grand Prix,20,4,1.4166422780956525,0.65
2025,British Grand Prix,19,10,2.499544305608131,0.5263157894736842
2025,Canadian Grand Prix,20,11,3.0609640474436812,0.25
2025,Chinese Grand Prix,20,6,1.833206219346495,0.6
2025,Dutch Grand Prix,20,11,3.2219280948873625,0.2
2025,Emilia Romagna Grand Prix,20,6,1.9814963295286754,0.55
2025,Hungarian Grand Prix,20,7,2.2149798205164815,0.45
2025,Italian Grand Prix,19,5,1.784315128855494,0.5789473684210527
2025,Japanese Grand Prix,20,5,1.578897902987479,0.65
2025,Las Vegas Grand Prix,20,7,2.019240704636849,0.55
2025,Mexico City Grand Prix,20,7,2.465957320949175,0.3
2025,Miami Grand Prix,20,4,1.3954618442383218,0.6
2025,Monaco Grand Prix,20,13,3.6219280948873624,0.1
2025,Qatar Grand Prix,20,9,2.319240704636849,0.55
2025,Saudi Arabian Grand Prix,20,4,1.4166422780956525,0.65
2025,São Paulo Grand Prix,20,10,2.9232196723355077,0.25
2025,Singapore Grand Prix,20,5,2.1709505944546685,0.4
2025,Spanish Grand Prix,19,8,2.5239860659612976,0.42105263157894735
2025,United States Grand Prix,20,7,1.8166422780956524,0.65
