RaceYear,RaceName,Driver,Stint,Compound,degradation_slope_seconds_per_lap,intercept,n_laps,min_tyre_life,max_tyre_life
2018,Austrian Grand Prix,ALO,1,SUPERSOFT,-0.08647552447552395,1.2942575757575747,12,1.0,12.0
2018,Austrian Grand Prix,ALO,2,SOFT,-0.019404840861444624,1.5742601867733927,54,2.0,55.0
2018,Austrian Grand Prix,BOT,1,SUPERSOFT,-0.03570279720279738,0.7495932400932436,12,4.0,15.0
2018,Austrian Grand Prix,ERI,1,SOFT,-0.07269567793438927,2.946922321317196,40,1.0,43.0
2018,Austrian Grand Prix,ERI,2,SUPERSOFT,0.04011086956521728,0.6662949275362389,24,2.0,25.0
2018,Austrian Grand Prix,GAS,1,SUPERSOFT,-0.12203146853146854,1.5256212121212143,12,1.0,12.0
2018,Austrian Grand Prix,GAS,2,SOFT,0.01616325519344391,0.2542916714312916,54,2.0,55.0
2018,Austrian Grand Prix,GRO,1,ULTRASOFT,-0.09328571428571439,1.4420109890109916,13,4.0,16.0
2018,Austrian Grand Prix,GRO,2,SOFT,0.0023213264722698208,0.48073108442920015,54,2.0,55.0
2018,Austrian Grand Prix,HAM,1,SUPERSOFT,-0.0470553526592101,1.3700415430267017,20,4.0,25.0
2018,Austrian Grand Prix,HAM,2,SOFT,-0.006272307692307769,0.7810923076923062,25,2.0,26.0
2018,Austrian Grand Prix,HAM,3,SUPERSOFT,0.07123333333333262,0.20393333333333474,9,2.0,10.0
2018,Austrian Grand Prix,HAR,1,SUPERSOFT,-0.048618131488141106,2.661118850370535,49,1.0,52.0
2018,Austrian Grand Prix,HUL,1,ULTRASOFT,0.048860606060606465,0.4048848484848461,10,4.0,13.0
2018,Austrian Grand Prix,LEC,1,SUPERSOFT,0.029775022956841167,0.3810973370064345,10,2.0,12.0
2018,Austrian Grand Prix,LEC,2,SOFT,-0.006696474175719436,1.0325532177117067,54,2.0,55.0
2018,Austrian Grand Prix,MAG,1,ULTRASOFT,-0.07680014841876927,2.189344103208128,24,4.0,29.0
2018,Austrian Grand Prix,MAG,2,SOFT,-0.012702613240418131,1.115725783972127,41,2.0,42.0
2018,Austrian Grand Prix,OCO,1,SUPERSOFT,-0.10443406593406578,1.2022692307692269,13,1.0,13.0
2018,Austrian Grand Prix,OCO,2,SOFT,-0.004085344006098735,1.016080452321967,54,2.0,55.0
2018,Austrian Grand Prix,PER,1,SUPERSOFT,-0.0842694451907574,2.0788589468027876,23,1.0,25.0
