Compound,TyreLifeInt,median_loss,mean_loss,n
HARD,40,0.5589999999999975,0.9135860215053763,372
HARD,41,0.634999999999998,1.0317654320987653,324
HARD,42,0.6159999999999997,0.9548292682926826,287
HARD,43,0.5914999999999964,0.944661157024793,242
HARD,44,0.6439999999999984,1.0793333333333333,204
HARD,45,0.6079999999999899,1.1113257142857131,175
HARD,46,0.5805000000000007,1.0879791666666656,144
HARD,47,0.5705000000000027,1.0756666666666663,132
HARD,48,0.6730000000000018,1.167378151260503,119
HARD,49,0.6664999999999992,1.2612211538461524,104
HARD,50,0.7310000000000016,1.2559024390243896,82
HARD,51,0.8129999999999953,1.6680972222222221,72
HARD,52,0.9539999999999935,2.1297627118644065,59
HARD,53,0.9575000000000031,2.02806,50
HARD,54,1.251499999999993,1.6875000000000002,44
HARD,55,1.0559999999999903,1.3857499999999991,40
HARD,56,1.0170000000000101,1.4209459459459464,37
HARD,57,0.938999999999993,1.280562499999999,32
HARD,58,1.0629999999999882,1.3202068965517217,29
HARD,59,1.1400000000000006,1.5092399999999986,25
HYPERSOFT,4,1.9549999999999983,1.8754137931034474,29
HYPERSOFT,5,1.235999999999997,1.6546764705882362,34
HYPERSOFT,6,1.0259999999999962,1.507,36
HYPERSOFT,7,1.3325000000000031,1.9212800000000003,50
HYPERSOFT,8,1.288499999999999,1.678479999999999,50
HYPERSOFT,9,1.0779999999999959,1.3489074074074077,54
HYPERSOFT,10,0.789999999999992,1.3057291666666673,48
HYPERSOFT,11,0.7349999999999994,1.2297777777777787,45
HYPERSOFT,12,0.5915000000000035,0.973261904761903,42
HYPERSOFT,13,0.7844999999999942,1.1055749999999995,40
HYPERSOFT,14,0.8134999999999977,1.0144736842105255,38
HYPERSOFT,15,1.0579999999999998,1.2539999999999993,36
HYPERSOFT,16,1.072499999999998,1.2975624999999997,32
HYPERSOFT,17,1.1999999999999886,1.5553548387096758,31
INTERMEDIATE,2,2.871999999999993,4.7365143884892085,278
INTERMEDIATE,3,2.809999999999988,4.8840775510204075,245
INTERMEDIATE,4,3.1814999999999998,4.881654471544715,246
INTERMEDIATE,5,2.890499999999996,4.180724025974026,308
INTERMEDIATE,6,2.9299999999999926,4.050143302180685,321
INTERMEDIATE,7,2.8714999999999975,4.256618181818181,330
INTERMEDIATE,8,2.580999999999989,4.029553623188406,345
INTERMEDIATE,9,2.319500000000005,3.4473076923076924,338
INTERMEDIATE,10,2.261500000000005,3.092792168674698,332
INTERMEDIATE,11,2.190000000000012,3.3365501519756835,329
INTERMEDIATE,12,2.2194999999999965,3.0065310344827583,290
INTERMEDIATE,13,2.266999999999996,2.7560992647058824,272
INTERMEDIATE,14,2.325000000000003,2.6344798534798533,273
INTERMEDIATE,15,2.1780000000000115,2.50789138576779,267
INTERMEDIATE,16,1.882000000000005,2.166782101167315,257
INTERMEDIATE,17,1.7019999999999982,2.0199482071713146,251
INTERMEDIATE,18,1.4349999999999952,1.7872948717948722,234
INTERMEDIATE,19,1.5189999999999912,1.6909111111111108,225
INTERMEDIATE,20,1.4640000000000057,1.6674724770642204,218
INTERMEDIATE,21,1.4749999999999943,1.6131282051282052,195
INTERMEDIATE,22,1.1415000000000006,1.4413388888888892,180
INTERMEDIATE,23,1.2780000000000058,1.406937142857143,175
INTERMEDIATE,24,1.0805000000000007,1.3748874999999996,160
INTERMEDIATE,25,1.166000000000011,1.293155038759689,129
INTERMEDIATE,26,1.112000000000009,1.2696055045871566,109
INTERMEDIATE,27,1.0180000000000007,1.1386666666666674,93
INTERMEDIATE,28,0.8810000000000002,1.0597999999999996,80
INTERMEDIATE,29,0.7850000000000108,1.365453333333334,75
INTERMEDIATE,30,0.8239999999999981,1.1611594202898552,69
INTERMEDIATE,31,0.6484999999999985,1.262972972972973,74
INTERMEDIATE,32,0.5769999999999982,1.1249552238805962,67
INTERMEDIATE,33,0.855000000000004,1.767946428571429,56
INTERMEDIATE,34,1.024000000000001,1.427957446808511,47
INTERMEDIATE,35,1.0600000000000023,1.3911749999999998,40
INTERMEDIATE,36,0.8920000000000101,1.4751428571428578,35
INTERMEDIATE,37,0.7540000000000049,0.963193548387097,31
MEDIUM,2,0.929000000000002,1.3614577711144427,2001
MEDIUM,3,0.697499999999998,1.073878717472119,2152
MEDIUM,4,0.6820000000000022,0.9972286838653257,2287
MEDIUM,5,0.7029999999999959,0.9958784329563813,2476
MEDIUM,6,0.6730000000000018,0.9652364280094413,2542
MEDIUM,7,0.7275000000000063,0.9873622685185183,2592
MEDIUM,8,0.7169999999999987,0.9527115756871853,2583
MEDIUM,9,0.695999999999998,0.966369830641985,2539
MEDIUM,10,0.7169999999999987,0.9709404525605397,2519
MEDIUM,11,0.7089999999999961,0.9413058489033306,2462
MEDIUM,12,0.7099999999999937,0.9194841303427846,2363
MEDIUM,13,0.722999999999999,0.9620583657587547,2313
MEDIUM,14,0.7304999999999993,0.9138523245214218,2194
MEDIUM,15,0.7219999999999942,0.9116276545540348,2119
MEDIUM,16,0.7289999999999992,0.9279412643106021,2009
MEDIUM,17,0.7219999999999942,0.9312923397602915,1919
MEDIUM,18,0.7199999999999989,0.9321774284110047,1781
MEDIUM,19,0.7064999999999984,0.9840825301204816,1660
MEDIUM,20,0.7079999999999913,0.9442145695364236,1510
MEDIUM,21,0.6489999999999938,0.8664661383285299,1388
MEDIUM,22,0.6314999999999955,0.9004359567901232,1296
MEDIUM,23,0.652000000000001,0.8843510548523204,1185
MEDIUM,24,0.6410000000000053,0.8615027472527471,1092
MEDIUM,25,0.6310000000000002,0.8952136317395726,983
MEDIUM,26,0.612000000000009,0.9372009080590235,881
MEDIUM,27,0.6029999999999944,0.8787968952134538,773
MEDIUM,28,0.6075000000000017,0.8430965417867432,694
MEDIUM,29,0.5390000000000015,0.8845603864734294,621
MEDIUM,30,0.5810000000000031,0.8568775510204077,539
MEDIUM,31,0.5810000000000031,0.8808033472803345,478
MEDIUM,32,0.5249999999999986,0.8850933014354063,418
MEDIUM,33,0.5060000000000002,0.8736565096952905,361
MEDIUM,34,0.5319999999999965,0.8611672025723474,311
MEDIUM,35,0.5694999999999979,0.8986917293233077,266
MEDIUM,36,0.5849999999999937,0.8998253275109168,229
MEDIUM,37,0.5045000000000002,0.8319545454545451,198
MEDIUM,38,0.5640000000000001,0.9172988505747123,174
MEDIUM,39,0.47099999999999653,0.876786666666666,150
MEDIUM,40,0.5485000000000042,0.8787109375000002,128
MEDIUM,41,0.5499999999999972,0.8819646017699115,113
MEDIUM,42,0.3960000000000008,0.847089108910891,101
MEDIUM,43,0.45599999999999596,0.8854545454545453,88
MEDIUM,44,0.6039999999999992,0.9313374999999999,80
MEDIUM,45,0.6410000000000053,0.8619508196721303,61
MEDIUM,46,0.7910000000000039,0.9788260869565218,46
MEDIUM,47,0.7099999999999937,1.2316153846153834,39
MEDIUM,48,0.617999999999995,1.309374999999999,32
MEDIUM,49,0.7040000000000077,1.0802800000000008,25
SOFT,1,1.453000000000003,1.8534516129032266,31
SOFT,2,0.8055000000000021,1.1913118131868132,728
SOFT,3,0.6419999999999959,1.003343878954608,727
SOFT,4,0.6550000000000011,1.0586446886446887,819
SOFT,5,0.7189999999999941,1.1538727969348659,1305
SOFT,6,0.6869999999999976,1.0659894498869633,1327
SOFT,7,0.6980000000000075,1.02853579175705,1383
SOFT,8,0.6979999999999933,0.9795451957295375,1405
SOFT,9,0.7060000000000031,0.9821767605633803,1420
SOFT,10,0.7025000000000006,0.9496064748201438,1390
SOFT,11,0.7400000000000091,0.9568886414253899,1347
SOFT,12,0.7560000000000002,0.9647276234567902,1296
SOFT,13,0.7899999999999991,0.9808584000000002,1250
SOFT,14,0.7750000000000057,0.9532753988245173,1191
SOFT,15,0.741500000000002,0.9455593065693434,1096
SOFT,16,0.7040000000000006,0.9361173570019725,1014
SOFT,17,0.7000000000000028,0.9331846318036288,937
SOFT,18,0.6980000000000075,0.9312577675489071,869
SOFT,19,0.61099999999999,0.8801485642946321,801
SOFT,20,0.5930000000000035,0.8775986486486487,740
SOFT,21,0.5769999999999982,0.8429076246334312,682
SOFT,22,0.6059999999999945,0.8381869009584665,626
SOFT,23,0.6219999999999999,0.9121735241502684,559
SOFT,24,0.5919999999999987,0.8168183716075159,479
SOFT,25,0.5859999999999985,0.9042369668246444,422
SOFT,26,0.6105000000000018,0.8869567567567571,370
SOFT,27,0.5945000000000036,0.828209090909091,330
SOFT,28,0.6200000000000045,0.9052941176470594,289
SOFT,29,0.5899999999999892,0.8360937500000001,256
